UFNUMB,CommonName,Family,Genus,Species,Subspecies,Preparations,Country,State,County,Latitude1,Longitude1,image
8772,,PYCNONOTIDAE,PYCNONOTUS,BRUNNEUS,BRUNNEUS,STUDY - 1,MALAYSIA,,,,,
8773,,PYCNONOTIDAE,PYCNONOTUS,PLUMOSUS,,STUDY - 1,MALAYSIA,SARAWAK,,,,
8774,,PYCNONOTIDAE,PYCNONOTUS,PLUMOSUS,,STUDY - 1,MALAYSIA,SARAWAK,,,,
8775,,PYCNONOTIDAE,PYCNONOTUS,ATRICEPS,ATRICEPS,STUDY - 1,MALAYSIA,SARAWAK,,,,
8776,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,GOURDINI,STUDY - 1,MALAYSIA,SARAWAK,,,,
8777,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,GOURDINI,STUDY - 1,MALAYSIA,SARAWAK,,,,
8778,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,STUDY - 1,MALAYSIA,SARAWAK,,,,
8779,,PYCNONOTIDAE,IXOS,PHILIPPINUS,SATURATIOR,STUDY - 1,PHILIPPINES,BUKIDNON PROVINCE,,,,
9543,,PYCNONOTIDAE,PYCNONOTUS,PLUMOSUS,,STUDY - 1,,,,,,
9544,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,STUDY - 1,,,,,,
9545,Yellow-vented Bulbul,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,,STUDY - 1,,,,,,
9546,,PYCNONOTIDAE,PYCNONOTUS,CAFER,BENGALENSIS,STUDY - 1,,,,,,
9547,Red-whiskered Bulbul,PYCNONOTIDAE,PYCNONOTUS,JOCOSUS,,STUDY - 1,,,,,,
9548,White-cheeked Bulbul,PYCNONOTIDAE,PYCNONOTUS,LEUCOGENYS,,STUDY - 1,,,,,,
11016,Ashy Bulbul,PYCNONOTIDAE,HYPSIPETES,FLAVALA,,STUDY - 1,INDIA,ASSAM,,,,
11017,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,ANALIS,STUDY - 1,INDONESIA,JAWA,,,,
11424,,PYCNONOTIDAE,PYCNONOTUS,BLANFORDI,CONRADI,STUDY - 1,THAILAND,UDORN PROVINCE,,,,
11425,,PYCNONOTIDAE,PYCNONOTUS,BLANFORDI,CONRADI,STUDY - 1,THAILAND,UDORN PROVINCE,,,,
12302,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,ANALIS,STUDY - 1,INDONESIA,JAWA,,,,
12303,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,ZAIRE,SHABA,,,,
13413,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,JAMBU,STUDY - 1,VIETNAM,,,,,
13525,Sooty-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,AURIGASTER,,C SKEL - 1,CAPTIVE BIRD,,,,,
15530,,PYCNONOTIDAE,PYCNONOTUS,JOCOSUS,MONTICOLA,STUDY - 1,CAPTIVE BIRD,,,,,
15650,Red-vented Bulbul,PYCNONOTIDAE,PYCNONOTUS,CAFER,,STUDY - 1,INDIA,,,,,
15651,Light-vented Bulbul,PYCNONOTIDAE,PYCNONOTUS,SINENSIS,,STUDY - 1,,,,,,
27947,,PYCNONOTIDAE,PYCNONOTUS,CAFER,PUSILLUS,C SKEL - 1,INDIA,TAMIL NADU,,,,
27948,,PYCNONOTIDAE,PYCNONOTUS,CAFER,PUSILLUS,C SKEL - 1,INDIA,TAMIL NADU,,,,
27949,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,LAYARDI,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
27950,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,DODSONI,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
27951,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,DODSONI,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
27952,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,LAYARDI,C SKEL - 1,ZIMBABWE,MATABELELAND NORTH PROVINCE,,,,
27953,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,LAYARDI,C SKEL - 1,ZIMBABWE,MATABELELAND SOUTH PROVINCE,,,,
27954,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,KENYA,CENTRAL PROVINCE,KIAMBU DISTRICT,,,
27955,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,ZAIRE,SHABA,,,,
27956,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,ZAIRE,SHABA,,,,
27957,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,LAYARDI,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
27958,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,ZAIRE,SHABA,,,,
27959,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,ZAIRE,SHABA,,,,
27960,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,LAYARDI,C SKEL - 1,SOUTH AFRICA,NATAL,,,,
27961,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
27962,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,LAYARDI,C SKEL - 1,ZIMBABWE,MATABELELAND NORTH PROVINCE,,,,
27963,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,LAYARDI,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
27964,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,GOIAVIER,C SKEL - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
27965,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,GOIAVIER,C SKEL - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
27966,,PYCNONOTIDAE,ANDROPADUS,CURVIROSTRIS,CURVIROSTRIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27967,,PYCNONOTIDAE,ANDROPADUS,CURVIROSTRIS,CURVIROSTRIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27968,,PYCNONOTIDAE,ANDROPADUS,CURVIROSTRIS,CURVIROSTRIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27979,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,C SKEL - 1,THAILAND,,,,,
27980,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,C SKEL - 1,THAILAND,,,,,
27981,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,C SKEL - 1,THAILAND,,,,,
27982,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,C SKEL - 1,THAILAND,,,,,
27983,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,FLAVIVENTRIS,C SKEL - 1,CAPTIVE BIRD,,,,,
27984,Red-whiskered Bulbul,PYCNONOTIDAE,PYCNONOTUS,JOCOSUS,,P SKEL - 1,,,,,,
27985,,PYCNONOTIDAE,PYCNONOTUS,JOCOSUS,EMERIA,C SKEL - 1,INDIA,TAMIL NADU,,,,
27986,,PYCNONOTIDAE,PYCNONOTUS,JOCOSUS,EMERIA,C SKEL - 1,INDIA,TAMIL NADU,,,,
27987,,PYCNONOTIDAE,PYCNONOTUS,NIGRICANS,NIGRICANS,C SKEL - 1,BOTSWANA,,,,,
27988,,PYCNONOTIDAE,PYCNONOTUS,PLUMOSUS,,P SKEL - 1,PHILIPPINES,PALAWAN PROVINCE,,,,
27989,,PYCNONOTIDAE,ANDROPADUS,MASUKUENSIS,KAKAMEGAE,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
27990,,PYCNONOTIDAE,ANDROPADUS,MASUKUENSIS,KAKAMEGAE,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
27991,,PYCNONOTIDAE,ANDROPADUS,VIRENS,VIRENS,P SKEL - 1,GHANA,CENTRAL,,,,
27992,,PYCNONOTIDAE,ANDROPADUS,IMPORTUNUS,INSULARIS,C SKEL - 1,KENYA,CENTRAL PROVINCE,KIAMBU DISTRICT,,,
27993,,PYCNONOTIDAE,ANDROPADUS,IMPORTUNUS,INSULARIS,C SKEL - 1,KENYA,CENTRAL PROVINCE,KIAMBU DISTRICT,,,
27994,,PYCNONOTIDAE,ANDROPADUS,LATIROSTRIS,LATIROSTRIS,P SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
27995,,PYCNONOTIDAE,ANDROPADUS,LATIROSTRIS,LATIROSTRIS,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
27996,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27997,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27998,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,P SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27999,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,OCCIDENTALIS,C SKEL - 1,ZIMBABWE,,,,,
28000,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,OCCIDENTALIS,C SKEL - 1,ZIMBABWE,,,,,
28001,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,OCCIDENTALIS,C SKEL - 1,ZIMBABWE,MASVINGO PROVINCE,,-21.0333333,31.9166667,
28002,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
28003,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
28004,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
28005,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,MASVINGO PROVINCE,,-21.0333333,31.9166667,
28006,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28007,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28008,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28009,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28010,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28011,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28012,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
28013,,PYCNONOTIDAE,PHYLLASTREPHUS,FLAVOSTRIATUS,TENUIROSTRIS,C SKEL - 1,TANZANIA,TANGA PROVINCE,,,,
28014,,PYCNONOTIDAE,PHYLLASTREPHUS,FLAVOSTRIATUS,,C SKEL - 1,ZIMBABWE,,,-20.4333333,32.7,
28015,,PYCNONOTIDAE,PHYLLASTREPHUS,DEBILIS,DEBILIS,C SKEL - 1,ZIMBABWE,,,,,
28016,,PYCNONOTIDAE,PHYLLASTREPHUS,DEBILIS,DEBILIS,C SKEL - 1,ZIMBABWE,,,,,
28017,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28018,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,EASTERN PROVINCE,MERU DISTRICT,,,
28019,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28020,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28021,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
28022,,PYCNONOTIDAE,BLEDA,SYNDACTYLUS,WOOSNAMI,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
28023,,PYCNONOTIDAE,BLEDA,SYNDACTYLUS,WOOSNAMI,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
28024,,PYCNONOTIDAE,IXOS,PHILIPPINUS,GUIMARASENSIS,C SKEL - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
